mds_cache_memory_limit,mds_cache_reservation,mds_health_cache_threshold,mds_cache_trim_threshold,mds_cache_trim_decay_rate,mds_recall_max_caps,mds_recall_max_decay_threshold,mds_recall_max_decay_rate,mds_recall_global_max_decay_threshold,mds_recall_warning_threshold,mds_recall_warning_decay_rate,mds_session_cap_acquisition_throttle,mds_session_cap_acquisition_decay_rate,mds_session_max_caps_throttle_ratio,mds_cap_acquisition_throttle_retry_request_timeout,mds_session_cache_liveness_magnitude,mds_session_cache_liveness_decay_rate,mds_max_caps_per_client,mds_cache_mid,mds_dir_max_commit_size,mds_decay_halflife,mds_beacon_interval,mds_beacon_grace,mon_mds_blocklist_interval,mds_reconnect_timeout,mds_tick_interval,mds_dirstat_min_interval,mds_scatter_nudge_interval,mds_client_prealloc_inos,mds_early_reply,mds_default_dir_hash,mds_log_skip_corrupt_events,mds_log_max_events,mds_log_max_segments,mds_bal_sample_interval,mds_bal_replicate_threshold,mds_bal_unreplicate_threshold,mds_bal_split_size,mds_bal_split_rd,mds_bal_split_wr,mds_bal_split_bits,mds_bal_merge_size,mds_bal_interval,mds_bal_fragment_interval,mds_bal_fragment_fast_factor,mds_bal_fragment_size_max,mds_bal_idle_threshold,mds_bal_max,mds_bal_max_until,mds_bal_mode,mds_bal_min_rebalance,mds_bal_min_start,mds_bal_need_min,mds_bal_need_max,mds_bal_midchunk,mds_bal_minchunk,mds_replay_interval,mds_shutdown_check,mds_thrash_exports,mds_thrash_fragments,mds_dump_cache_on_map,mds_dump_cache_after_rejoin,mds_verify_scatter,mds_debug_scatterstat,mds_debug_frag,mds_debug_auth_pins,mds_debug_subtrees,mds_kill_mdstable_at,mds_kill_export_at,mds_kill_import_at,mds_kill_link_at,mds_kill_rename_at,mds_wipe_sessions,mds_wipe_ino_prealloc,mds_skip_ino,mds_min_caps_per_client,bluestore_cache_trim_interval,bluestore_default_buffered_read,bluestore_default_buffered_write,bluestore_deferred_batch_ops,bluestore_deferred_batch_ops_hdd,bluestore_deferred_batch_ops_ssd,bluestore_fsck_read_bytes_cap,bluestore_max_deferred_txc,bluestore_prefer_deferred_size,bluestore_prefer_deferred_size_hdd,bluestore_prefer_deferred_size_ssd,bluestore_throttle_bytes,client_cache_mid,client_cache_size,client_oc,client_oc_max_dirty,client_oc_max_dirty_age,client_oc_max_objects,client_oc_size,client_oc_target_dirty,client_readahead_max_bytes,client_readahead_max_periods,client_readahead_min,ms_async_max_op_threads,ms_async_op_threads,osd_bench_max_block_size,osd_bench_small_size_max_iops,osd_pool_default_cache_max_evict_check_size,osd_pool_default_cache_min_evict_age,osd_pool_default_cache_min_flush_age,osd_pool_default_cache_target_dirty_high_ratio,osd_pool_default_cache_target_dirty_ratio,osd_pool_default_cache_target_full_ratio,osd_target_transaction_size,osd_tier_default_cache_hit_set_count,osd_tier_default_cache_hit_set_grade_decay_rate,osd_tier_default_cache_hit_set_period,osd_tier_default_cache_hit_set_search_last_n,osd_tier_default_cache_min_read_recency_for_promote,osd_tier_default_cache_min_write_recency_for_promote,rbd_cache,rbd_cache_block_writes_upfront,rbd_cache_max_dirty,rbd_cache_max_dirty_age,rbd_cache_max_dirty_object,rbd_cache_size,rbd_cache_target_dirty,rbd_cache_writethrough_until_flush,rbd_enable_alloc_hint,rbd_non_blocking_aio,rbd_readahead_disable_after_bytes,rbd_readahead_max_bytes,Average IOPS
1073746206,0.531693,2.6116,84145,2.23511,6931,20564,3.98213,77431,46191,65.1875,500641,12.7172,2.06339,1.6116,10,6.48213,1059923,1.76219,22,10.1875,8.19937,23.8928,24053.7,63.7737,10.1875,4.82884,8.95235,1571,0,4,0,2,1011,4.97618,9729.4,1.48213,14553,43526.9,27291.8,5,92,40,15,6.31693,129181,3.21129,-1,0,1,1.31041,1.63273,2.08451,3.62082,1.70803,0.494797,2.72915,3,2,1,1,0,0,1,1,1,1,1,1,4,3,1,0,0,2,212,0.531693,0,0,55,79,53,67132762,52,9,42714,655,67122070,1.3058,29680,1,104857600,10.1875,5328,209737487,8405346,286,14,157506,5,12,67114224,482,17,4,5,1.93392,1.65981,1.961,34,4,31,1725,3,3,3,0,0,25166708,2.23511,1,33575861,16797413,0,0,1,52445283,535776,390
1073773508,0.991827,3.67345,68176,3.41494,5481,23592,5.39793,69350,37937,70.1428,523784,15.3129,2.98365,2.67345,12,7.89793,1064350,2.77685,24,15.1428,12.2108,32.3876,43591.9,81.7071,15.1428,8.48632,12.7278,2847,0,4,1,1,1385,6.86391,11381.4,2.89793,15337,61224.6,43809.7,14,67,47,11,10.9183,103326,6.27885,0,-1,1,2.46664,3.00133,3.31154,5.93329,3.05303,0.966494,4.38092,2,1,1,0,1,1,0,1,0,0,1,4,4,2,3,0,0,2,396,0.991827,1,0,9,85,25,67126648,93,7,34378,1985,67113156,1.83672,22546,0,104857600,15.1428,1282,209732769,8413487,301,6,163296,15,6,67129135,460,30,4,7,3.20814,2.86324,3.07004,39,6,30,1630,1,3,3,0,1,25182195,3.41494,3,33572181,16777621,0,1,0,52431962,532380,403
1073767140,0.93792,3.54905,74549,3.27672,6860,24109,5.23206,82258,45087,69.5622,529735,15.0088,2.87584,2.54905,12,7.73206,1075386,2.65798,28,14.5622,11.7408,31.3924,41302.9,79.6061,14.5622,8.05782,12.2855,1884,0,3,1,3,1534,6.64275,11187.9,2.73206,31068,59151.2,41874.5,2,66,21,16,10.3792,131039,5.91946,-1,-1,1,2.33118,2.84099,3.16779,5.66237,2.89546,0.911232,4.1874,1,3,1,1,1,0,1,1,1,0,2,3,4,1,3,0,0,2,260,0.93792,0,1,43,74,116,67124254,109,22,40629,620,67127710,1.77452,28982,1,104857600,14.5622,9618,209726271,8413908,966,17,151711,6,2,67124298,246,20,7,5,3.05885,2.72225,2.94011,31,6,36,2284,3,1,1,1,1,25195178,3.27672,1,33554909,16804862,1,0,1,52435257,525286,378
1073752825,1.85945,5.67565,70570,5.63961,5398,21607,8.06753,84673,51849,79.4864,505819,20.2071,4.71889,4.67565,18,10.5675,1074699,4.69006,19,24.4864,19.7747,48.4052,80432.8,115.522,24.4864,15.3828,19.8467,2159,1,5,0,-1,1096,10.4234,14496.4,5.56753,14274,94595.0,74955.4,3,58,24,12,19.5945,132273,12.063,-1,-1,1,4.64682,5.58194,5.62519,10.2936,5.58915,1.85591,7.49545,3,2,2,1,0,1,1,1,0,0,2,3,3,3,2,0,0,2,441,1.85945,0,1,26,69,85,67141568,106,19,47823,2228,67131082,2.83782,25218,0,104857600,24.4864,7883,209716664,8389315,443,6,139174,5,17,67128957,416,37,5,1,5.61078,5.1324,5.16123,45,5,41,2358,2,1,2,1,0,25194028,5.63961,1,33572126,16796306,0,1,1,52431259,538285,393
1073763534,1.93851,5.85811,79946,5.84234,7244,24579,8.31081,69740,48774,80.3378,531363,20.6532,4.87703,4.85811,12,10.8108,1059222,4.86441,25,25.3378,20.464,49.8649,83790.1,118.604,25.3378,16.0113,20.4955,1983,1,8,0,0,1265,10.7477,14780.2,5.81081,16612,97636.1,77793.8,21,87,43,6,20.3851,124571,12.5901,-1,0,1,4.84549,5.81712,5.83604,10.691,5.82027,1.93697,7.77928,2,1,3,1,1,1,0,1,0,1,3,4,1,2,1,1,1,2,374,1.93851,0,0,8,92,99,67132243,108,9,35273,1204,67118284,2.92905,28075,0,104857600,25.3378,1838,209732019,8408852,155,6,138097,11,1,67112159,329,43,1,6,5.82973,5.33919,5.3518,47,6,27,1562,2,3,2,1,1,25182354,5.84234,3,33565476,16803184,1,0,1,52432077,550790,302
1073761180,0.150126,1.73106,76044,1.25673,7892,21311,2.80808,67260,48138,61.0783,518482,10.5648,1.30025,0.73106,12,5.30808,1061637,0.920791,19,6.07828,4.87289,16.8485,7851.56,48.9024,6.07828,1.79587,5.82155,2545,1,6,1,1,869,3.41077,8359.48,0.30808,15949,28851.1,13594.3,2,54,35,15,2.50126,118708,0.667508,-1,0,1,2.11248,2.58212,2.93569,5.22496,2.64105,0.822009,3.87497,1,1,2,1,0,0,0,1,1,1,1,4,2,1,3,0,0,1,145,0.850884,1,1,15,78,88,67109902,97,21,47870,298,67124421,1.6741,30733,0,104857600,13.6249,1519,209737198,8399311,99,11,134225,17,1,67116561,468,25,8,7,2.81783,2.49462,2.73034,39,4,48,1703,2,3,2,1,1,25194285,3.05355,2,33582882,16787447,1,1,1,52441045,548927,307
1073765020,1.05754,3.82509,80488,3.58344,5759,22683,5.60013,68441,59243,70.8504,519531,15.6836,3.11508,2.82509,17,8.10013,1072813,2.92176,27,15.8504,12.7837,33.6008,46382.3,84.2683,15.8504,9.00866,13.267,2319,0,4,0,3,1742,7.1335,11617.3,3.10013,41320,63752.1,46168.7,12,62,25,18,11.5754,103987,6.71694,0,-1,1,2.63177,3.19679,3.48678,6.26354,3.24512,1.03386,4.61681,3,2,1,1,0,1,1,1,1,1,1,1,4,3,3,1,1,1,165,1.05754,1,0,47,72,117,67123316,61,12,47722,1249,67115213,1.91255,33694,0,104857600,15.8504,2313,209718096,8406308,236,8,134493,15,14,67139197,138,38,6,2,3.39011,3.03511,3.22843,39,5,39,1439,1,1,1,0,1,25193474,3.58344,2,33574251,16802239,0,1,1,52445435,547962,403
1073749171,0.768903,3.15901,69230,2.84334,7085,24681,4.71201,67710,45762,67.742,500024,14.0554,2.53781,2.15901,12,7.21201,1055617,2.28527,11,12.742,10.2674,28.2721,34126.1,73.0188,12.742,6.71436,10.8987,2676,1,7,0,0,236,5.94935,10581.0,2.21201,17161,52650.5,35807.2,5,63,31,16,8.68903,104784,4.79269,0,-1,1,1.90648,2.33828,2.71708,4.81295,2.40141,0.737968,3.58068,3,3,3,0,0,1,0,1,0,1,4,3,4,2,2,0,1,1,385,0.768903,1,0,25,88,73,67119075,68,2,33673,830,67138911,1.5795,30446,0,104857600,12.742,6386,209734281,8390624,132,13,152557,7,5,67118562,177,25,5,6,2.59081,2.28021,2.53274,31,4,23,1508,2,2,2,1,1,25177694,2.84334,1,33581303,16794389,1,1,1,52433084,542861,392
1073743704,0.901154,3.4642,82067,3.18245,5326,22895,5.11894,78425,36689,69.1663,517597,14.8014,2.80231,2.4642,16,7.61894,1064600,2.5769,11,14.1663,11.4203,30.7136,39741.7,78.1732,14.1663,7.76558,11.9838,1182,0,8,0,3,615,6.49191,11055.9,2.61894,22038,57737.1,40554.7,9,79,46,15,10.0115,111570,5.67436,0,-1,1,2.2388,2.73164,3.06974,5.47759,2.78799,0.873542,4.05542,3,1,1,1,0,1,0,1,1,1,4,2,3,3,2,0,1,1,477,0.901154,0,0,55,109,50,67117097,68,16,41697,176,67112282,1.7321,23910,1,104857600,14.1663,2499,209733285,8396576,845,12,153741,5,9,67139425,119,32,6,5,2.95704,2.6261,2.8515,46,6,34,1873,1,1,2,1,0,25192404,3.18245,3,33573555,16794665,0,0,0,52445336,553137,402
1073766205,0.820023,3.27698,75700,2.97442,6411,19103,4.8693,74618,48078,68.2926,526464,14.3437,2.64005,2.27698,16,7.3693,1052259,2.398,21,13.2926,10.713,29.2158,36296.8,75.0112,13.2926,7.1207,11.3181,1706,0,8,0,0,1430,6.15907,10764.6,2.3693,17433,54616.7,37642.3,3,82,39,10,9.20023,131918,5.13349,0,0,1,2.03493,2.49033,2.8534,5.06986,2.55084,0.790373,3.76419,1,1,3,0,1,0,0,0,1,1,4,1,1,3,1,0,1,1,103,0.820023,1,0,37,107,20,67137603,105,14,38843,1284,67112824,1.63849,20653,1,104857600,13.2926,9940,209746307,8400488,98,4,158011,21,15,67128936,148,38,1,7,2.73237,2.41391,2.65595,30,5,20,1832,2,1,1,0,0,25191438,2.97442,3,33566999,16781129,0,1,0,52433058,530093,396
1073763967,1.94658,5.87672,78938,5.86303,6735,18045,8.33563,80433,33990,80.4247,532649,20.6987,4.89316,4.87672,16,10.8356,1079649,4.8822,14,25.4247,20.5343,50.0138,84132.7,118.918,25.4247,16.0754,20.5617,2482,1,2,1,-1,1525,10.7808,14809.2,5.83563,13951,97946.4,78083.4,13,74,13,5,20.4658,131913,12.6439,-1,-1,1,4.86577,5.84111,5.85755,10.7315,5.84385,1.94524,7.80824,1,3,2,1,0,0,1,1,0,1,1,1,3,2,2,0,0,2,318,1.94658,1,1,58,67,35,67111108,111,21,40696,892,67133234,2.93836,26521,1,104857600,25.4247,3208,209733805,8415310,901,9,155452,17,13,67110722,448,31,5,6,5.85207,5.36029,5.37125,40,4,31,1493,2,3,2,1,1,25177333,5.86303,2,33567233,16777665,1,1,1,52459957,529737,390
1073748825,1.75551,5.43579,75876,5.3731,7033,18746,7.74772,68619,40338,78.367,502868,19.6208,4.51102,4.43579,10,10.2477,1057439,4.46087,25,23.367,18.8685,46.4863,76019.4,111.471,23.367,14.5566,18.9939,1586,1,2,1,1,1201,9.99696,14123.2,5.24772,15103,90597.4,71224.3,17,63,39,8,18.5551,119794,11.3701,0,0,1,4.38564,5.2728,5.34802,9.77128,5.28533,1.74937,7.12234,1,1,2,1,0,1,1,1,0,0,3,4,2,3,1,0,1,1,338,1.75551,1,0,40,115,74,67118463,78,12,34500,1370,67139466,2.7179,20446,1,104857600,23.367,7640,209728524,8396757,795,13,139627,8,9,67116604,304,35,4,7,5.32295,4.86056,4.91071,36,4,21,1589,2,1,3,1,0,25174674,5.3731,1,33567652,16806335,1,0,1,52452109,550655,394
1073761170,1.0641,3.84023,67460,3.60026,6542,22917,5.62031,67421,61463,70.9211,513779,15.7206,3.1282,2.84023,12,8.12031,1055467,2.93622,18,15.9211,12.8409,33.7219,46660.8,84.524,15.9211,9.06081,13.3208,2941,0,2,1,-1,667,7.16042,11640.9,3.12031,32032,64004.4,46404.2,11,71,12,9,11.641,123619,6.76068,-1,-1,1,2.64826,3.2163,3.50427,6.29651,3.2643,1.04058,4.64036,2,2,2,0,0,0,0,1,1,0,2,3,3,3,1,0,1,2,379,1.0641,1,1,18,73,40,67118808,77,18,39221,1272,67132109,1.92012,20355,0,104857600,15.9211,4413,209726115,8413148,119,5,144918,7,14,67139221,197,27,5,6,3.40828,3.05227,3.24424,33,5,40,2172,2,1,2,0,1,25186285,3.60026,3,33561413,16806229,1,1,0,52433015,529221,399
1073773571,0.922024,3.51236,84962,3.23596,6551,26732,5.18315,76562,53045,69.391,521755,14.9191,2.84405,2.51236,17,7.68315,1055622,2.62292,24,14.391,11.6023,31.0989,40627.9,78.9866,14.391,7.93147,12.1551,1179,0,2,1,-1,1501,6.57753,11130.8,2.68315,27296,58539.8,41303.9,22,58,29,17,10.2202,127252,5.81349,0,-1,1,2.29124,2.79371,3.1254,5.58248,2.84899,0.894936,4.13034,2,3,3,1,0,0,0,1,1,0,4,3,3,3,1,1,1,1,402,0.922024,1,0,58,98,66,67130176,49,4,48527,1309,67124512,1.75618,21202,1,104857600,14.391,4068,209727546,8412377,682,8,162562,13,18,67128509,469,27,6,5,3.01484,2.68068,2.9018,32,5,31,1884,1,3,3,1,1,25185698,3.23596,2,33575167,16794314,0,0,1,52447036,537999,394
1073754334,0.0973012,1.60916,65845,1.12129,7060,16641,2.64554,80484,41879,60.5094,518807,10.2668,1.1946,0.609157,18,5.14554,1061077,0.804305,10,5.5094,4.41237,15.8733,5608.5,46.8435,5.5094,1.37598,5.38811,1078,1,6,1,3,195,3.19406,13629.5,4.8246,30131,85308.3,66287.8,12,54,37,5,17.1799,130301,10.4533,-1,0,1,4.04009,4.86378,4.98132,9.08018,4.88337,1.6084,6.6287,3,1,3,0,0,1,0,0,0,1,3,4,1,3,3,0,0,2,140,1.61799,0,1,42,88,114,67126760,81,2,39950,87,67132055,2.55922,20540,0,104857600,21.8861,5589,209744753,8393389,815,10,153189,7,20,67132349,175,41,7,7,4.94214,4.50091,4.57927,34,5,47,2245,1,1,2,0,1,25197495,5.0205,1,33563502,16786781,0,0,1,52436237,541923,399
